"","Mouse","notes.mouse","notes.slice","Date","Slice.collector","num.slice"
"1","15-140A","mouse not used for ephys","","6/18/2015","MK",3
"2","15-140B","","","6/18/2015","MK",4
"3","15-140C","","","6/19/2015","MK",2
"4","15-140C","","slice three is best","6/19/2015","MK",3
"5","15-140D","","","6/19/2015","MK",3
"6","15-140E","","","6/9/2015","MK",4
"7","15-140E","","500 uM very caudal","6/9/2015","MK",1
"8","15-141C","","","6/26/2015","MK",2
"9","15-141D","","","6/26/2015","MK",3
"10","15-141E","","","6/12/2015","MK",4
"11","15-142A","","","7/2/2015","MK",4
"12","15-142B","","","7/2/2015","MK",4
"13","15-142C","","","7/6/2015","MK",4
"14","15-142D","","","7/6/2015","MK",3
"15","15-142E","","","6/14/2015","MK",4
"16","15-143A","","","7/9/2015","MK",2
"17","15-143B","","","7/9/2015","MK",3
"18","15-143C","","","7/10/2015","MK",4
"19","15-143D","","","7/10/2015","MK",3
"20","15-144C","","","7/18/2015","MK",3
"21","15-144D","","CYRSTALS","7/17/2015","MK",3
"22","15-144E","mouse not used for ephys","","6/30/2015","MK",4
"23","15-145A","","","7/18/2015","MK",3
"24","15-145B","","","7/18/2015","MK",3
"25","15-145C","","","7/22/2015","MK",4
"26","15-145D","","","7/22/2015","MK",3
"27","15-146A","","","7/23/2015","MK",3
"28","15-146B","","","7/23/2015","MK",4
"29","15-146C","","","7/24/2015","MK",4
"30","15-146D","","","7/24/2015","MK",4
"31","15-147","homecage","","7/27/2015","MK",4
"32","15-147A","","","7/25/2015","MK",4
"33","15-147B","","","7/25/2015","MK",4
"34","15-147C","","","7/29/2015","MK",4
"35","15-147D","","","7/29/2015","MK",5
"36","15-148","homecage","","7/28/2015","MK",4
"37","15-148A","","","7/30/2015","MK",3
"38","15-148B","","","7/30/2015","MK",4
"39","15-148C","","","7/31/2015","MK",4
"40","15-148D","","","7/31/2015","MK",NA
"41","15-310","","","7/29/2015","JM",3
"42","15-321","","","7/27/2015","JM",2
"43","15-331","","","7/30/2015","JM",3
"44","A","","","7/15/2015","MK",2
"45","B","","","7/15/2015","MK",4
