ID,Year,Genotype,TrainProtocol,TrainSequence,TrainGroup,Day,TrainSession,ShockOnOff,PairedPartner,Experimenter,Housing,TestLocation,genoYear,APA,genoAPA,TrainSessionCombo,genoAPATrainSessionCombo,genoAPATrainSessionComboInd,pair1,pair2,TotalPathArena.m,SpeedArena.cm.s,SdevSpeedArena.,Linearity.Arena.,NumEntrances,Time1stEntr,Path1stEntr,Speed1stEntr.cm.s.,Dist1stEntr.m.,NumShock,MaxTimeAvoid,Time2ndEntr,Path2ndEntr,Speed2ndEntr,TimeTarget,pTimeTarget,pTimeCCW,pTimeOPP,pTimeCW,RayleigLength,RayleigAngle,PolarAvgVal,PolarSdVal,PolarMinVal,PolarMinBin,Min50.RngLoBin,Min50.RngHiBin,PolarMaxVal,PolarMaxBin,Max50.RngLoBin,Max50.RngHiBin,AnnularMinVal,AnnularMinBin,AnnularMaxVal,AnnularMaxBin,AnnularAvg,AnnularSd,AnnularSkewnes,AnnularKurtosis,Speed1,Speed2,EntrShockDiff
bl3,2013,WT,2-day,train,trained,1,T3,On,NA,JuanMarcos,AnimalRoom,MBL,WT_2013,trained,WT_trained,T3,WT_trained_T3,_bl3,bl3_,NA_,15.63,2.61,2.84,0.3408,0,599.97,14.98,NA,0,0,599,599.97,14.98,NA,0,0,0.3315,0.6616,0.0069,0.77,150.26,239.41,41.28,0,0,180,130,0.0954,150,120,200,0.0021,3.5,0.7426,16.6,16.55,7.23,4.53,33.72,0.024967915,0.024967915,0
bl7,2013,WT,2-day,train,trained,1,T3,On,NA,JuanMarcos,AnimalRoom,MBL,WT_2013,trained,WT_trained,T3,WT_trained_T3,_bl7,bl7_,NA_,11.89,1.98,2.51,0.2864,0,599.97,15.47,NA,0,0,599,599.97,15.47,NA,0,0,0.1175,0.822,0.0605,0.79,176.71,264.99,40.07,0,0,200,160,0.1128,180,150,220,0.0015,3.5,0.4642,16.6,16.73,7.72,2.37,18.93,0.025784623,0.025784623,0
bl9,2013,WT,2-day,train,trained,1,T3,On,NA,JuanMarcos,AnimalRoom,MBL,WT_2013,trained,WT_trained,T3,WT_trained_T3,_bl9,bl9_,NA_,10.51,1.75,2.69,0.2666,0,599.97,13.75,NA,0,0,599,599.97,13.75,NA,0.433,0.0011,0.0684,0.5823,0.3483,0.7,206.75,264.64,56.58,1.00E-04,0,220,170,0.0876,220,170,250,0.006,3.5,0.4464,16.6,15.7,11.24,2.51,13.71,0.022917813,0.022917813,0
bl13,2013,WT,2-day,train,trained,1,T3,On,NA,JuanMarcos,AnimalRoom,MBL,WT_2013,trained,WT_trained,T3,WT_trained_T3,_bl13,bl13_,NA_,15.42,2.57,2.72,0.3672,0,599.97,18.02,NA,0,0,599,599.97,18.02,NA,0,0,0.0552,0.6432,0.3016,0.79,208.42,285.15,42.03,0,0,230,190,0.0984,210,180,250,4.00E-04,11.1,0.4902,18,14.24,49.44,1.28,2.68,0.030034835,0.030034835,0
15140C,2015,WT,3-day,train-train,trained,2,T6,On,15140D,Maddy,AnimalRoom,MBL,WT_2015,trained_trained,WT_trained_trained,T6_C3,WT_trained_trained_T6_C3,_15140C,15140C_,15140D_,13.06,2.18,2.37,0.3426,0,599.97,15.48,NA,0,0,599,599.97,15.48,NA,0,0,0.0573,0.6194,0.3233,0.78,213,280,46.61,0,0,230,200,0.1322,210,180,240,0.009,3.5,0.3004,16.6,15.67,14.93,1.58,6.58,0.02580129,0.02580129,0
15140C,2015,WT,3-day,train-train,trained,3,Retention,Off,15140D,Maddy,AnimalRoom,MBL,WT_2015,trained_trained,WT_trained_trained,Retention,WT_trained_trained_Retention,_15140C,15140C_,15140D_,13.97,2.33,2.39,0.352,0,599.97,16.06,NA,0,0,599,599.97,16.06,NA,0.833,0.0021,0.0389,0.6373,0.3218,0.72,206.02,264.76,55.44,1.00E-04,0,240,190,0.0895,220,170,250,0.0015,19.4,0.2642,15,14.95,17.11,1.43,6.63,0.026768005,0.026768005,0
15142C,2015,WT,3-day,train-train,trained,2,T4,On,15142D,Maddy,AnimalRoom,MBL,WT_2015,trained_trained,WT_trained_trained,T4_C1,WT_trained_trained_T4_C1,_15142C,15142C_,15142D_,13.8,2.3,2.2,0.3786,0,599.97,14.26,NA,0,0,599,599.97,14.26,NA,0,0,0.0497,0.9132,0.037,0.86,176.32,263.48,31.77,0,0,190,170,0.1572,170,150,200,0.0022,8.5,0.5304,16.6,16.7,7.21,1.58,8.85,0.023767855,0.023767855,0
15142C,2015,WT,3-day,train-train,trained,2,T5,On,15142D,Maddy,AnimalRoom,MBL,WT_2015,trained_trained,WT_trained_trained,T5_C2,WT_trained_trained_T5_C2,_15142C,15142C_,15142D_,13.9,2.32,2.14,0.3849,0,599.97,14.13,NA,0,0,599,599.97,14.13,NA,0,0,0.1729,0.7762,0.0508,0.8,163.69,251.7,38.46,0,0,180,150,0.1269,160,130,190,0.0013,3.5,0.4522,16.6,16.42,9.11,2.08,11.93,0.023551178,0.023551178,0
15142C,2015,WT,3-day,train-train,trained,2,T6,On,15142D,Maddy,AnimalRoom,MBL,WT_2015,trained_trained,WT_trained_trained,T6_C3,WT_trained_trained_T6_C3,_15142C,15142C_,15142D_,13.09,2.18,1.96,0.3901,0,599.97,12.79,NA,0,0,599,599.97,12.79,NA,0,0,0.0209,0.9578,0.0213,0.87,173.55,263.84,29.82,0,0,190,160,0.1256,190,140,200,0.0059,8.5,0.5489,16.6,16.4,8.24,1.93,9.73,0.021317733,0.021317733,0
15143C,2015,WT,3-day,train-train,trained,2,T4,On,15143D,Maddy,AnimalRoom,MBL,WT_2015,trained_trained,WT_trained_trained,T4_C1,WT_trained_trained_T4_C1,_15143C,15143C_,15143D_,13.88,2.31,2.64,0.3168,0,599.97,16.08,NA,0,0,599,599.97,16.08,NA,0,0,0.1639,0.7016,0.1346,0.7,179.86,262.31,48.5,0,0,200,150,0.0994,180,140,220,0.005,8.5,0.4108,16.6,16.39,10.59,3,18.48,0.02680134,0.02680134,0
15143C,2015,WT,3-day,train-train,trained,2,T6,On,15143D,Maddy,AnimalRoom,MBL,WT_2015,trained_trained,WT_trained_trained,T6_C3,WT_trained_trained_T6_C3,_15143C,15143C_,15143D_,13.46,2.24,2.32,0.3549,0,599.97,14.58,NA,0,0,599,599.97,14.58,NA,0,0,0.0995,0.5978,0.3027,0.68,198.78,258.82,57.6,0,0,220,170,0.0849,200,160,240,0.0218,8.5,0.4087,16.6,15.77,11.57,1.81,7.4,0.024301215,0.024301215,0
15144C,2015,WT,3-day,train-train,trained,2,T5,On,15144D,Maddy,AnimalRoom,MBL,WT_2015,trained_trained,WT_trained_trained,T5_C2,WT_trained_trained_T5_C2,_15144C,15144C_,15144D_,13.18,2.2,2.31,0.3247,0,599.97,14.64,NA,0,0,599,599.97,14.64,NA,0,0,0.5809,0.413,0.0061,0.87,134.5,225.53,30.81,0,0,140,120,0.1624,140,100,150,0.002,3.5,0.4434,16.6,16.27,9.69,2.18,10.81,0.02440122,0.02440122,0
15144C,2015,WT,3-day,train-train,trained,4,Retention,Off,15144D,Maddy,AnimalRoom,MBL,WT_2015,trained_trained,WT_trained_trained,Retention,WT_trained_trained_Retention,_15144C,15144C_,15144D_,20.2,3.37,3.23,0.377,0,599.97,15.8,NA,0,0,599,599.97,15.8,NA,0,0,0.3502,0.6323,0.0175,0.83,145.1,234.48,35.74,0,0,150,130,0.1533,140,110,160,3.00E-04,19.4,0.4219,16.6,16.05,10.1,2.55,16.46,0.02633465,0.02633465,0
15147C,2015,WT,3-day,train-train,trained,2,T6,On,15147D,Maddy,AnimalRoom,MBL,WT_2015,trained_trained,WT_trained_trained,T6_C3,WT_trained_trained_T6_C3,_15147C,15147C_,15147D_,12.99,2.17,2.17,0.3405,0,599.97,14.39,NA,0,0,599,599.97,14.39,NA,0,0,0.4541,0.5324,0.0135,0.84,139.39,229.2,34.24,0,0,150,120,0.1219,130,100,160,0.004,8.5,0.3952,16.6,16.35,8.22,1.35,8.18,0.023984533,0.023984533,0
15142A,2015,WT,3-day,train-conflict,trained,2,Retest,On,15142B,Maddy,AnimalRoom,MBL,WT_2015,trained_conflict,WT_trained_conflict,Retest,WT_trained_conflict_Retest,_15142A,15142A_,15142B_,14.42,2.4,2.86,0.2981,0,599.97,15.84,NA,0,0,599,599.97,15.84,NA,0.067,2.00E-04,0.0359,0.6028,0.3611,0.74,207.36,274.45,49.77,0,0,250,200,0.1004,240,180,260,6.00E-04,11.1,0.6973,16.6,16.38,4.84,3.14,65.45,0.02640132,0.02640132,0
15144A,2015,WT,3-day,train-conflict,trained,3,Retention,Off,15144B,Maddy,AnimalRoom,MBL,WT_2015,trained_conflict,WT_trained_conflict,Retention,WT_trained_conflict_Retention,_15144A,15144A_,15144B_,14.51,2.42,2.59,0.3379,0,599.97,16.51,NA,0,0,599,599.97,16.51,NA,0.034,1.00E-04,0.1796,0.6695,0.1508,0.71,158.34,89.13,51.38,0,0,170,130,0.1006,160,110,180,4.00E-04,3.5,0.4658,16.6,15.84,8.38,1.59,8.64,0.027518043,0.027518043,0
15145A,2015,WT,3-day,train-conflict,trained,3,Retention,Off,15145B,Maddy,AnimalRoom,MBL,WT_2015,trained_conflict,WT_trained_conflict,Retention,WT_trained_conflict_Retention,_15145A,15145A_,15145B_,12.85,2.14,2.33,0.33,0,NA,NA,NA,0,0,599,NA,NA,NA,0,0,0.395,0.5949,0.0101,0.86,128.17,80.87,53.1,0,0,150,120,0.1223,130,100,160,0.0029,8.5,0.5341,16.6,16.66,6.69,2.44,16.61,NA,NA,0
15146A,2015,WT,3-day,train-conflict,trained,3,Retention,Off,15146B,Maddy,AnimalRoom,MBL,WT_2015,trained_conflict,WT_trained_conflict,Retention,WT_trained_conflict_Retention,_15146A,15146A_,15146B_,14.21,2.37,2.37,0.354,0,599.97,15.67,NA,0,0,599,599.97,15.67,NA,0,0,0.107,0.8342,0.0588,0.83,156.97,75.32,36.36,0,0,170,140,0.1261,140,120,180,0.0061,19.4,0.3682,16.6,16.32,9.96,1.56,7.53,0.026117973,0.026117973,0
15148A,2015,WT,3-day,train-conflict,trained,2,Retest,On,15148B,Maddy,AnimalRoom,MBL,WT_2015,trained_conflict,WT_trained_conflict,Retest,WT_trained_conflict_Retest,_15148A,15148A_,15148B_,16.26,2.71,3.27,0.2919,0,599.97,16.5,NA,0,0,599,599.97,16.5,NA,0,0,0.3857,0.5914,0.0229,0.73,150.86,238.14,45.27,0,0,200,150,0.0786,150,100,190,0.0055,3.5,0.3258,16.6,15.93,13.96,1.8,7.36,0.027501375,0.027501375,0
16-357C,2016,WT,3-day,train-train,trained,2,T6,On,NA,Maddy,AnimalRoom,MBL,WT_2016,trained_trained,WT_trained_trained,T6_C3,WT_trained_trained_T6_C3,_16-357C,16-357C_,NA_,11.4,1.9,2.54,0.2838,0,NA,NA,NA,0,0,599,NA,NA,NA,0,0,0.1964,0.7352,0.0684,0.75,166.12,249.72,44.32,0,0,180,140,0.0969,160,130,200,0.0018,3.1,0.5924,15.8,15.04,8.85,3.98,26.99,NA,NA,0
16-116A,2016,FMR1KO,3-day,train-train,trained,2,T6,On,16-116B,Maddy,AnimalRoom,MBL,FMR1KO_2016,trained_trained,FMR1KO_trained_trained,T6_C3,FMR1KO_trained_trained_T6_C3,_16-116A,16-116A_,16-116B_,12.1,2.02,2.01,0.325,0,599.97,13.54,NA,0,0,599,599.97,13.54,NA,0,0,0.2665,0.6428,0.0906,0.65,169.2,251.46,52.4,0,0,210,150,0.0939,200,130,220,3.00E-04,3.1,0.5101,14.5,14.2,8.49,2.03,11.4,0.022567795,0.022567795,0
