"","16-116B","16-117D","16-118B","16-118D","16-119B","16-119D","16-120B","16-120D","16-122B","16-122D","16-123B","16-123D","16-124D","16-125B","16-125D","16-126B"
"0610007P14Rik",19,19,13,21,25,19,16,19,28,35,4,22,20,2,15,24
"0610009B22Rik",10,8,6,12,10,8,8,2,25,16,0,9,12,0,5,11
"0610009L18Rik",5,0,2,10,2,1,3,0,8,6,0,5,3,0,0,18
"0610009O20Rik",40,35,86,28,62,60,93,94,69,89,4,62,40,13,61,92
"0610010F05Rik",8,9,16,10,10,12,13,11,14,15,3,12,12,1,9,9
"0610010K14Rik",3,1,1,1,3,2,2,0,2,3,0,1,3,0,1,4
"0610012G03Rik",27,23,61,53,84,59,70,66,86,91,11,35,92,6,61,106
"0610030E20Rik",39,43,60,26,29,21,48,43,31,52,31,29,29,19,38,22
"0610037L13Rik",6,5,8,8,7,7,11,6,9,11,1,9,6,1,5,9
"0610040J01Rik",0,0,0,0,2,1,0,0,2,1,0,1,1,0,0,1
"1110002E22Rik",4,2,1,12,0,4,2,1,5,5,0,1,3,0,2,2
"1110004E09Rik",7,2,11,7,12,9,13,9,12,12,1,9,7,0,10,17
"1110004F10Rik",19,13,25,30,39,20,33,27,31,36,13,20,34,2,17,36
"1110008F13Rik",49,30,80,85,101,55,73,40,141,140,17,71,74,7,63,132
"1110008L16Rik",2,2,3,3,3,3,2,4,3,2,4,3,3,0,2,4
"1110008P14Rik",23,22,59,45,49,19,36,23,60,64,16,27,47,7,25,48
"1110012L19Rik",4,1,14,16,11,14,7,12,16,8,0,8,3,2,14,11
"1110017D15Rik",0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0
"1110025L11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110032A03Rik",3,3,7,5,7,7,7,5,17,11,0,3,6,1,5,7
"1110032F04Rik",25,26,38,25,30,21,39,24,51,53,0,49,34,3,29,44
"1110034G24Rik",5,1,6,1,5,1,4,2,3,4,0,5,3,1,3,4
"1110037F02Rik",31,25,36,34,36,50,40,33,46,56,14,42,49,5,31,40
"1110038F14Rik",36,15,51,22,39,24,33,26,24,35,11,28,17,2,22,50
"1110051M20Rik",37,26,50,53,52,53,67,54,58,63,15,36,32,5,38,64
"1110057P08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110059E24Rik",3,1,1,4,4,3,1,4,2,3,1,3,3,1,1,3
"1110059G10Rik",8,5,4,12,8,4,12,8,19,15,0,5,8,1,10,17
"1110065P20Rik",12,4,10,17,26,9,16,6,23,18,4,17,13,1,5,15
"1190002N15Rik",254,119,224,181,268,284,308,227,231,235,25,235,239,15,139,203
"1190003K10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1190005I06Rik",0,0,0,1,3,2,2,0,0,2,0,1,3,0,5,2
"1190007I07Rik",2,2,2,0,4,0,5,2,2,4,0,1,1,0,2,2
"1300017J02Rik",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1500009C09Rik",31,32,29,48,66,34,33,33,60,58,4,44,48,2,27,48
