"RNAseqID","Mouse","year","Genotype","jobnumber","Punch","Group","Conflict","APA","method","dodgy","daytime","Slice","Date"
"100-CA1-1","15-100","2015","WT","JA16444","CA1","homecage",NA,NA,"homogenized","allgood","norecord","1","9/28/15"
"100-CA1-2","15-100","2015","WT","JA16444","CA1","homecage",NA,NA,"homogenized","allgood","norecord","2","9/28/15"
"100-CA1-3","15-100","2015","WT","JA16444","CA1","homecage",NA,NA,"homogenized","allgood","norecord","3","9/28/15"
"100-CA3-1","15-100","2015","WT","JA16444","CA3","homecage",NA,NA,"homogenized","allgood","norecord","1","9/28/15"
"100-CA3-4","15-100","2015","WT","JA16444","CA3","homecage",NA,NA,"homogenized","allgood","norecord","4","9/28/15"
"100-DG-2","15-100","2015","WT","JA16444","DG","homecage",NA,NA,"homogenized","allgood","norecord","2","9/28/15"
"100-DG-3","15-100","2015","WT","JA16444","DG","homecage",NA,NA,"homogenized","allgood","norecord","3","9/28/15"
"101-CA1-1","15-100","2015","WT","JA16444","CA1","homecage",NA,NA,"dissociated","allgood","norecord","1","9/28/15"
"101-CA1-2","15-100","2015","WT","JA16444","CA1","homecage",NA,NA,"dissociated","allgood","norecord","2","9/28/15"
"101-CA1-3","15-100","2015","WT","JA16444","CA1","homecage",NA,NA,"dissociated","allgood","norecord","3","9/28/15"
"101-CA3-1","15-100","2015","WT","JA16444","CA3","homecage",NA,NA,"dissociated","allgood","norecord","1","9/28/15"
"101-CA3-4","15-100","2015","WT","JA16444","CA3","homecage",NA,NA,"dissociated","allgood","norecord","4","9/28/15"
"101-DG-3","15-100","2015","WT","JA16444","DG","homecage",NA,NA,"dissociated","allgood","norecord","3","9/28/15"
"101-DG-4","15-100","2015","WT","JA16444","DG","homecage",NA,NA,"dissociated","allgood","norecord","4","9/28/15"
"142C_CA1","15-142C","2015","WT","JA16268","CA1","consistent","NoConflict","Trained","homogenized","ephys","norecord","4","7/6/15"
"142C_DG","15-142C","2015","WT","JA16268","DG","consistent","NoConflict","Trained","homogenized","ephys","norecord","1","7/6/15"
"143A-CA3-1","15-143A","2015","WT","JA16444","CA3","conflict","Conflict","Trained","homogenized","slice","norecord","1","7/9/15"
"143A-DG-1","15-143A","2015","WT","JA16444","DG","conflict","Conflict","Trained","homogenized","slice","norecord","1","7/9/15"
"143B-CA1-1","15-143B","2015","WT","JA16444","CA1","control","Conflict","Yoked","homogenized","slice","norecord","1","7/9/15"
"143B-DG-1","15-143B","2015","WT","JA16444","DG","control","Conflict","Yoked","homogenized","slice","norecord","1","7/9/15"
"143C_CA1","15-143C","2015","WT","JA16268","CA1","consistent","NoConflict","Trained","homogenized","allgood","norecord","2","7/10/15"
"143C_DG","15-143C","2015","WT","JA16268","DG","consistent","NoConflict","Trained","homogenized","allgood","norecord","1","7/10/15"
"143C-CA1-1","15-143C","2015","WT","JA16444","CA1","consistent","NoConflict","Trained","homogenized","allgood","norecord","1","7/10/15"
"143D-CA1-3","15-143D","2015","WT","JA16444","CA1","control","NoConflict","Yoked","homogenized","allgood","norecord","3","7/10/15"
"143D-DG-3","15-143D","2015","WT","JA16444","DG","control","NoConflict","Yoked","homogenized","allgood","norecord","3","7/10/15"
"144A-CA1-2","15-144A","2015","WT","JA16444","CA1","conflict","Conflict","Trained","homogenized","allgood","norecord","2","7/15/15"
"144A-CA3-2","15-144A","2015","WT","JA16444","CA3","conflict","Conflict","Trained","homogenized","allgood","norecord","2","7/15/15"
"144A-DG-2","15-144A","2015","WT","JA16444","DG","conflict","Conflict","Trained","homogenized","allgood","norecord","2","7/15/15"
"144B-CA1-1","15-144B","2015","WT","JA16444","CA1","control","Conflict","Yoked","homogenized","allgood","norecord","1","7/15/15"
"144B-CA3-1","15-144B","2015","WT","JA16444","CA3","control","Conflict","Yoked","homogenized","allgood","norecord","1","7/15/15"
"144C-CA1-2","15-144C","2015","WT","JA16444","CA1","consistent","NoConflict","Trained","homogenized","allgood","norecord","2","7/18/15"
