"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17"
"T1_AnnularAvg",-0.0347584825443906,-0.13434448610851,-0.000110512025522648,0.0754426946899479,0.00539879406053235,-0.00230917105302769,0.0865107692703173,0.0600483731070454,0.0216286742156451,0.0224366569822178,-0.0126609867471458,-0.0494955414062527,-0.00882529698235135,-0.0481280187681723,0.0256692921017141,0.0156753103383545,-0.126621404522775
"T1_AnnularKurtosis",-0.0169935967701553,-0.0951757202001335,0.0125545740714085,0.0751454134300019,-0.00892618293743957,-0.0725239635896863,0.127975238677261,0.0769427969634932,-0.0313978120888318,-0.0489417931352592,0.016916464418767,-0.057122132806688,-0.0876331428819943,-0.0587874426214899,0.0386782181951012,-0.0738345297180061,0.013032928888337
"T1_AnnularMaxBin",0.00832522009779749,-0.103839513394531,-0.00799668628344349,0.0804747480085131,-0.013190977376658,-0.0102607172286073,0.00500923467685881,0.0639595788588865,-0.00299746404736188,0.0899172693773213,-0.0663559755163409,0.00930963686569945,0.110679199752753,0.0906382571867173,0.061861948873695,0.21473544131778,0.321961632028462
"T1_AnnularMaxVal",-0.0145832344597125,-0.0466733170306431,0.0453944335003796,0.11399386898179,0.0200692069430557,0.00632216741252648,0.110264884678245,0.02003150670799,0.0017579753943821,-0.150772939921781,-0.0505032762625818,0.0806893629547812,-0.100169104624049,0.0534794822138159,0.0907207433561467,0.00704139016268326,-0.0601730426584308
"T1_AnnularMinBin",-0.0412033783762253,-0.0176970711504189,-0.071268541948432,0.0504138160319789,0.121718899034376,-0.0988044255803718,-0.0858409621623399,-0.0170456916589554,-0.0286047107898464,0.00652924474947433,0.0663616872145879,-0.102771358025361,-0.0105545695747529,-0.0415937526126682,-0.0660235008204437,0.0439848505205605,-0.0684506520656915
"T1_AnnularMinVal",0.0476119474675145,0.0792604400192658,0.0162517533526351,-0.10675523678003,-0.058620452972111,0.0357042387329702,-0.0219927244482082,-0.00933131574831617,0.0195537685621782,0.0999646961744673,-0.0877596769864487,0.0799997810596895,0.0938300428774843,0.0171980610088149,0.082261651947109,0.0762718690776135,-0.108595669596486
"T1_AnnularSd",0.0328714122221397,0.0352242528220837,-0.0701633843940138,-0.036652325625031,0.0287256470241754,-0.00334873483102884,-0.159204084905699,-0.0623098849424987,-0.0711013270916124,0.0608503902101842,-0.0962910413642672,0.0414275161523602,0.105455743142109,0.0443845506483586,0.0351525088467037,0.111732698658076,0.0617178014454893
"T1_AnnularSkewnes",-0.0196062005211985,-0.092494835892219,-0.0096536689572679,0.110683006241447,0.0464843049501566,-0.0771865834240664,0.0554307226961516,0.0255588721438772,-0.11525461783787,-0.0253809115155026,-0.0108785197264797,-0.0276815680516254,-0.0604847433367733,-0.0788698174547646,0.0723503033394473,0.017057674129584,-0.0851383479369558
"T1_Entr.Dist.1.m.",0.000199712929057523,-0.0156624414827736,0.00831954472076264,0.0252270770137253,-0.207754063128831,0.00102490441583166,-0.0306486325724018,0.0028769435951555,0.0409517971392164,-0.0204406694069175,0.0588240458682068,0.0916278036874902,0.0369931479902737,0.0674115688931159,0.0182893297467704,0.0294781491007358,-0.0809634362701428
"T1_Linearity",0.00207832577159056,-0.115094018571832,0.0129847123382363,0.0609412890973127,0.0306493555764227,-0.0313824316674456,-0.00831036090391408,0.107769844157966,0.00802705566384201,-0.139742291199263,0.0120550597588627,0.108876369305124,-0.0508215088300876,0.000214244531112273,0.040358806614624,-0.0224025894666894,-0.0203157790982222
