"ID","Genotype","APA","Year","TrainSessionCombo","NumEntrances","NumShock","TimeTarget","Time1stEntr","Time1stShock","entranceshockequal","firstentranceshockequal"
"15140C","WT","trained_trained","2015","T6_C3",0,0,0,599.97,599.97,"equal","equal"
"15142C","WT","trained_trained","2015","T4_C1",0,0,0,599.97,599.97,"equal","equal"
"15142C","WT","trained_trained","2015","T5_C2",0,0,0,599.97,599.97,"equal","equal"
"15142C","WT","trained_trained","2015","T6_C3",0,0,0,599.97,599.97,"equal","equal"
"15143C","WT","trained_trained","2015","T4_C1",0,0,0,599.97,599.97,"equal","equal"
"15143C","WT","trained_trained","2015","T6_C3",0,0,0,599.97,599.97,"equal","equal"
"15144C","WT","trained_trained","2015","T5_C2",0,0,0,599.97,599.97,"equal","equal"
"15144C","WT","trained_trained","2015","Retention",0,0,0,599.97,599.97,"equal","equal"
"15147C","WT","trained_trained","2015","T6_C3",0,0,0,599.97,599.97,"equal","equal"
"15145A","WT","trained_conflict","2015","Retention",0,0,0,600,600,"equal","equal"
"15146A","WT","trained_conflict","2015","Retention",0,0,0,599.97,599.97,"equal","equal"
"15148A","WT","trained_conflict","2015","Retest",0,0,0,599.97,599.97,"equal","equal"
"16-123A","WT","trained_trained","2016","T+_C+",0,0,0,600,600,"equal","equal"
"16-357C","WT","trained_trained","2016","T6_C3",0,0,0,600,600,"equal","equal"
"16-116A","FMR1-KO","trained_trained","2016","T6_C3",0,0,0,599.97,599.97,"equal","equal"
"16-118B","FMR1-KO","trained_trained","2016","T4_C1",0,0,0,600,600,"equal","equal"
"16-118B","FMR1-KO","trained_trained","2016","T5_C2",0,0,0,599.97,599.97,"equal","equal"
"16-118B","FMR1-KO","trained_trained","2016","T6_C3",0,0,0,599.97,599.97,"equal","equal"
"16-121D","FMR1-KO","trained_conflict","2016","T6_C3",0,0,0.033,599.97,599.97,"equal","equal"
"15144A","WT","trained_conflict","2015","Retention",0,0,0.034,599.97,599.97,"equal","equal"
"16-118C","FMR1-KO","trained_conflict","2016","T6_C3",0,0,0.066,599.97,599.97,"equal","equal"
"15142A","WT","trained_conflict","2015","Retest",0,0,0.067,599.97,599.97,"equal","equal"
"15140C","WT","trained_trained","2015","Retention",0,0,0.833,599.97,599.97,"equal","equal"
"16-357D","WT","yoked_conflict","2016","T2",0,0,37.466,599.97,599.97,"equal","equal"
"16-357D","WT","yoked_conflict","2016","T1",0,0,45.632,599.97,599.97,"equal","equal"
"16-357A","WT","yoked_trained","2016","Retest",0,0,52.071,599.97,599.97,"equal","equal"
"16-357A","WT","yoked_trained","2016","T4_C1",0,0,62.135,599.97,599.97,"equal","equal"
"16-357D","WT","yoked_conflict","2016","Retest",0,0,64.001,599.97,599.97,"equal","equal"
"16-357D","WT","yoked_conflict","2016","T3",0,0,73.465,599.97,599.97,"equal","equal"
"16-357A","WT","yoked_trained","2016","T1",0,0,74.799,599.97,599.97,"equal","equal"
"16-357A","WT","yoked_trained","2016","T6_C3",0,0,76.131,599.97,599.97,"equal","equal"
"16-357B","WT","yoked_trained","2016","T6_C3",0,0,79.933,599.97,599.97,"equal","equal"
"16-357B","WT","yoked_trained","2016","T4_C1",0,0,85.501,599.97,599.97,"equal","equal"
"16-357A","WT","yoked_trained","2016","T2",0,0,87.734,599.97,599.97,"equal","equal"
"16-357A","WT","yoked_trained","2016","T5_C2",0,0,92.602,599.97,599.97,"equal","equal"
"16-357A","WT","yoked_trained","2016","T3",0,0,98.032,599.97,599.97,"equal","equal"
"16-357B","WT","yoked_trained","2016","T2",0,0,100.001,599.97,599.97,"equal","equal"
"16-357B","WT","yoked_trained","2016","Retest",0,0,100.101,599.97,599.97,"equal","equal"
"16-357B","WT","yoked_trained","2016","T3",0,0,111.799,599.97,599.97,"equal","equal"
"16-357B","WT","yoked_trained","2016","T5_C2",0,0,113.499,599.97,599.97,"equal","equal"
"16-357D","WT","yoked_conflict","2016","T5_C2",0,0,113.533,599.97,599.97,"equal","equal"
"16-357D","WT","yoked_conflict","2016","T6_C3",0,0,113.831,599.97,599.97,"equal","equal"
"16-357B","WT","yoked_trained","2016","T1",0,0,118.435,599.97,599.97,"equal","equal"
"16-357D","WT","yoked_conflict","2016","T4_C1",0,0,144.732,599.97,599.97,"equal","equal"
"15146A","WT","trained_conflict","2015","Retest",1,1,0.533,400.37,400.37,"equal","equal"
"15147A","WT","trained_conflict","2015","T3",1,1,0.533,180.6,180.6,"equal","equal"
"15146C","WT","trained_trained","2015","T3",1,1,0.6,526.87,526.87,"equal","equal"
"15147C","WT","trained_trained","2015","Retest",1,1,0.6,433.5,433.5,"equal","equal"
"15148A","WT","trained_conflict","2015","T3",1,1,0.6,69.07,69.07,"equal","equal"
"16-124A","WT","trained_trained","2016","T5_C2",1,1,0.6,385.53,385.53,"equal","equal"
"15143A","WT","trained_conflict","2015","T3",1,1,0.633,585.8,585.8,"equal","equal"
