"Genotype.x","Year.x","TrainSequence.x","TrainSessionCombo.x","ID.x","TrainGroup.x","NumShock.x","NumEntrances.x","TimeTarget.x","Time1stEntr.x","Time1stShock.x","ID.y","TrainGroup.y","NumShock.y","NumEntrances.y","TimeTarget.y","Time1stEntr.y","Time1stShock.y"
"WT","2016","train-train","T1","16-357A","yoked",0,0,74.799,599.97,599.97,"16-124A","trained",15,12,17.399,6.27,6.27
"WT","2016","train-train","T2","16-357A","yoked",0,0,87.734,599.97,599.97,"16-124A","trained",5,4,7.833,15.2,15.2
"WT","2016","train-train","T3","16-357A","yoked",0,0,98.032,599.97,599.97,"16-124A","trained",2,2,2.233,34.67,34.67
"WT","2016","train-train","Retest","16-357A","yoked",0,0,52.071,599.97,599.97,"16-124A","trained",1,1,1.034,324.3,324.3
"WT","2016","train-train","T4_C1","16-357A","yoked",0,0,62.135,599.97,599.97,"16-124A","trained",4,4,3.468,40.1,40.1
"WT","2016","train-train","T5_C2","16-357A","yoked",0,0,92.602,599.97,599.97,"16-124A","trained",1,1,0.6,385.53,385.53
"WT","2016","train-train","T6_C3","16-357A","yoked",0,0,76.131,599.97,599.97,"16-124A","trained",2,2,1.834,107.5,107.5
"WT","2016","train-train","T1","16-357B","yoked",0,0,118.435,599.97,599.97,"16-124B","trained",16,13,16.333,4,4
"WT","2016","train-train","T2","16-357B","yoked",0,0,100.001,599.97,599.97,"16-124B","trained",7,7,8.299,28.3,28.3
"WT","2016","train-train","T3","16-357B","yoked",0,0,111.799,599.97,599.97,"16-124B","trained",3,3,3.1,15.27,15.27
"WT","2016","train-train","Retest","16-357B","yoked",0,0,100.101,599.97,599.97,"16-124B","trained",13,12,15.201,12.17,12.17
"WT","2016","train-train","T4_C1","16-357B","yoked",0,0,85.501,599.97,599.97,"16-124B","trained",13,11,16.1,7.37,7.37
"WT","2016","train-train","T5_C2","16-357B","yoked",0,0,113.499,599.97,599.97,"16-124B","trained",11,11,13.865,49.67,49.67
"WT","2016","train-train","T6_C3","16-357B","yoked",0,0,79.933,599.97,599.97,"16-124B","trained",12,11,14.964,0.53,0.53
"WT","2016","train-conflict","T1","16-357D","yoked",0,0,45.632,599.97,599.97,"16-125D","trained",15,14,14.665,28.83,28.83
"WT","2016","train-conflict","T2","16-357D","yoked",0,0,37.466,599.97,599.97,"16-125D","trained",5,5,5.168,10.6,10.6
"WT","2016","train-conflict","T3","16-357D","yoked",0,0,73.465,599.97,599.97,"16-125D","trained",4,4,3.967,45.8,45.8
"WT","2016","train-conflict","Retest","16-357D","yoked",0,0,64.001,599.97,599.97,"16-125D","trained",2,2,2.001,97.7,97.7
"WT","2016","train-conflict","T4_C1","16-357D","yoked",0,0,144.732,599.97,599.97,"16-125D","trained",23,20,29.2,0.53,0.53
"WT","2016","train-conflict","T5_C2","16-357D","yoked",0,0,113.533,599.97,599.97,"16-125D","trained",2,2,1.999,0.53,0.53
"WT","2016","train-conflict","T6_C3","16-357D","yoked",0,0,113.831,599.97,599.97,"16-125D","trained",3,3,3.968,102.23,102.23
"FMR1-KO","2016","train-train","T2","16-121A","yoked",2,2,1.433,25.8,25.8,"16-121B","trained",62,15,125.264,2.87,2.87
"FMR1-KO","2016","train-conflict","Retest","16-118D","yoked",5,4,10.8,124,124,"16-118C","trained",10,10,12.833,12.5,12.5
"FMR1-KO","2016","train-train","T1","16-121A","yoked",9,8,8.065,41,41,"16-121B","trained",35,13,64.668,14.17,14.17
"WT","2015","train-conflict","T3","15142B","yoked",15,5,33,94.37,94.37,"15142A","trained",2,2,2.798,94.27,94.27
"WT","2015","train-conflict","T2","15142B","yoked",16,3,32.301,11.73,11.73,"15142A","trained",4,3,4.434,8.17,8.17
"WT","2015","train-conflict","T5_C2","15142B","yoked",16,7,31.368,1.03,1.03,"15142A","trained",3,3,3.067,5.1,5.1
