target_id	length	eff_length	est_counts	tpm
ENSMUST00000000199.7|ENSMUSG00000062661.6|OTTMUSG00000011923.4|OTTMUST00000028142.2|Ncs1-001|Ncs1|4653|protein_coding|	4653	4463.23	2217	9059.14
ENSMUST00000150670.1|ENSMUSG00000062661.6|OTTMUSG00000011923.4|OTTMUST00000028279.3|Ncs1-002|Ncs1|498|nonsense_mediated_decay|	498	308.383	0	0
ENSMUST00000125292.1|ENSMUSG00000020524.15|OTTMUSG00000005703.3|OTTMUST00000012687.2|Gria1-003|Gria1|287|protein_coding|	287	107.77	0	0
ENSMUST00000036315.14|ENSMUSG00000020524.15|OTTMUSG00000005703.3|OTTMUST00000012688.2|Gria1-004|Gria1|5546|protein_coding|	5546	5356.23	2441.87	8314.47
ENSMUST00000094179.9|ENSMUSG00000020524.15|OTTMUSG00000005703.3|OTTMUST00000012689.2|Gria1-005|Gria1|5399|protein_coding|	5399	5209.23	4246.83	14868.3
ENSMUST00000151045.2|ENSMUSG00000020524.15|OTTMUSG00000005703.3|OTTMUST00000097250.1|Gria1-006|Gria1|5361|protein_coding|	5361	5171.23	17.8897	63.0927
ENSMUST00000173531.1|ENSMUSG00000020524.15|OTTMUSG00000005703.3|OTTMUST00000097254.1|Gria1-007|Gria1|531|processed_transcript|	531	341.35	0	0
ENSMUST00000075316.8|ENSMUSG00000033981.13|OTTMUSG00000051468.1|OTTMUST00000130045.1|Gria2-001|Gria2|10371|protein_coding|	10371	10181.2	1357.78	2432.2
ENSMUST00000107745.6|ENSMUSG00000033981.13|OTTMUSG00000051468.1|OTTMUST00000130046.1|Gria2-002|Gria2|4026|protein_coding|	4026	3836.23	1543.44	7337.65
ENSMUST00000192463.1|ENSMUSG00000033981.13|OTTMUSG00000051468.1|OTTMUST00000130047.1|Gria2-003|Gria2|3681|nonsense_mediated_decay|	3681	3491.23	271.113	1416.26
ENSMUST00000194383.4|ENSMUSG00000033981.13|OTTMUSG00000051468.1|OTTMUST00000130048.1|Gria2-004|Gria2|3462|retained_intron|	3462	3272.23	299.372	1668.55
ENSMUST00000193645.4|ENSMUSG00000033981.13|OTTMUSG00000051468.1|OTTMUST00000130049.1|Gria2-007|Gria2|4799|retained_intron|	4799	4609.23	2937.15	11621.7
ENSMUST00000194523.4|ENSMUSG00000033981.13|OTTMUSG00000051468.1|OTTMUST00000130050.1|Gria2-008|Gria2|2719|retained_intron|	2719	2529.23	0	0
ENSMUST00000195062.1|ENSMUSG00000033981.13|OTTMUSG00000051468.1|OTTMUST00000130051.1|Gria2-005|Gria2|1975|retained_intron|	1975	1785.23	0	0
ENSMUST00000194164.1|ENSMUSG00000033981.13|OTTMUSG00000051468.1|OTTMUST00000130052.1|Gria2-006|Gria2|2147|retained_intron|	2147	1957.23	3200.37	29821.5
ENSMUST00000108589.7|ENSMUSG00000020886.15|OTTMUSG00000006024.8|OTTMUST00000013521.1|Dlg4-002|Dlg4|3271|protein_coding|	3271	3081.23	0	0
ENSMUST00000133140.6|ENSMUSG00000020886.15|OTTMUSG00000006024.8|OTTMUST00000013523.3|Dlg4-004|Dlg4|647|protein_coding|	647	457.279	0	0
ENSMUST00000108586.3|ENSMUSG00000020886.15|OTTMUSG00000006024.8|OTTMUST00000089994.1|Dlg4-013|Dlg4|283|processed_transcript|	283	104.213	0	0
ENSMUST00000108588.6|ENSMUSG00000020886.15|OTTMUSG00000006024.8|OTTMUST00000013520.2|Dlg4-001|Dlg4|3457|protein_coding|	3457	3267.23	2173.49	12132.5
ENSMUST00000018700.11|ENSMUSG00000020886.15|OTTMUSG00000006024.8|OTTMUST00000013522.2|Dlg4-003|Dlg4|3204|protein_coding|	3204	3014.23	2468.6	14936.4
ENSMUST00000134376.7|ENSMUSG00000020886.15|OTTMUSG00000006024.8|OTTMUST00000013524.2|Dlg4-005|Dlg4|551|protein_coding|	551	361.279	8.48646	428.405
ENSMUST00000124568.7|ENSMUSG00000020886.15|OTTMUSG00000006024.8|OTTMUST00000038804.2|Dlg4-008|Dlg4|555|protein_coding|	555	365.279	11.7972	589.014
ENSMUST00000135916.7|ENSMUSG00000020886.15|OTTMUSG00000006024.8|OTTMUST00000038805.3|Dlg4-009|Dlg4|404|protein_coding|	404	215.724	0	0
ENSMUST00000132597.2|ENSMUSG00000020886.15|OTTMUSG00000006024.8|OTTMUST00000013525.2|Dlg4-006|Dlg4|845|protein_coding|	845	655.232	17.8631	497.203
ENSMUST00000143920.2|ENSMUSG00000020886.15|OTTMUSG00000006024.8|OTTMUST00000038806.2|Dlg4-010|Dlg4|534|protein_coding|	534	344.35	6086.93	322380
ENSMUST00000138004.2|ENSMUSG00000020886.15|OTTMUSG00000006024.8|OTTMUST00000038807.2|Dlg4-011|Dlg4|637|retained_intron|	637	447.279	1.78945	72.9644
