target_id	length	eff_length	est_counts	tpm
ENSMUST00000000199.7|ENSMUSG00000062661.6|OTTMUSG00000011923.4|OTTMUST00000028142.2|Ncs1-001|Ncs1|4653|protein_coding|	4653	4463.58	896	5482.64
ENSMUST00000150670.1|ENSMUSG00000062661.6|OTTMUSG00000011923.4|OTTMUST00000028279.3|Ncs1-002|Ncs1|498|nonsense_mediated_decay|	498	308.852	0	0
ENSMUST00000125292.1|ENSMUSG00000020524.15|OTTMUSG00000005703.3|OTTMUST00000012687.2|Gria1-003|Gria1|287|protein_coding|	287	106.554	0	0
ENSMUST00000036315.14|ENSMUSG00000020524.15|OTTMUSG00000005703.3|OTTMUST00000012688.2|Gria1-004|Gria1|5546|protein_coding|	5546	5356.58	2096.87	10691.7
ENSMUST00000094179.9|ENSMUSG00000020524.15|OTTMUSG00000005703.3|OTTMUST00000012689.2|Gria1-005|Gria1|5399|protein_coding|	5399	5209.58	1502.09	7875.13
ENSMUST00000151045.2|ENSMUSG00000020524.15|OTTMUSG00000005703.3|OTTMUST00000097250.1|Gria1-006|Gria1|5361|protein_coding|	5361	5171.58	22.0425	116.413
ENSMUST00000173531.1|ENSMUSG00000020524.15|OTTMUSG00000005703.3|OTTMUST00000097254.1|Gria1-007|Gria1|531|processed_transcript|	531	341.693	0	0
ENSMUST00000075316.8|ENSMUSG00000033981.13|OTTMUSG00000051468.1|OTTMUST00000130045.1|Gria2-001|Gria2|10371|protein_coding|	10371	10181.6	995.7	2671.03
ENSMUST00000107745.6|ENSMUSG00000033981.13|OTTMUSG00000051468.1|OTTMUST00000130046.1|Gria2-002|Gria2|4026|protein_coding|	4026	3836.58	1224.14	8714.7
ENSMUST00000192463.1|ENSMUSG00000033981.13|OTTMUSG00000051468.1|OTTMUST00000130047.1|Gria2-003|Gria2|3681|nonsense_mediated_decay|	3681	3491.58	99.4309	777.793
ENSMUST00000194383.4|ENSMUSG00000033981.13|OTTMUSG00000051468.1|OTTMUST00000130048.1|Gria2-004|Gria2|3462|retained_intron|	3462	3272.58	89.8224	749.652
ENSMUST00000193645.4|ENSMUSG00000033981.13|OTTMUSG00000051468.1|OTTMUST00000130049.1|Gria2-007|Gria2|4799|retained_intron|	4799	4609.58	1522.85	9023.22
ENSMUST00000194523.4|ENSMUSG00000033981.13|OTTMUSG00000051468.1|OTTMUST00000130050.1|Gria2-008|Gria2|2719|retained_intron|	2719	2529.58	0	0
ENSMUST00000195062.1|ENSMUSG00000033981.13|OTTMUSG00000051468.1|OTTMUST00000130051.1|Gria2-005|Gria2|1975|retained_intron|	1975	1785.58	0	0
ENSMUST00000194164.1|ENSMUSG00000033981.13|OTTMUSG00000051468.1|OTTMUST00000130052.1|Gria2-006|Gria2|2147|retained_intron|	2147	1957.58	2302.94	32131.3
ENSMUST00000108589.7|ENSMUSG00000020886.15|OTTMUSG00000006024.8|OTTMUST00000013521.1|Dlg4-002|Dlg4|3271|protein_coding|	3271	3081.58	0	0
ENSMUST00000133140.6|ENSMUSG00000020886.15|OTTMUSG00000006024.8|OTTMUST00000013523.3|Dlg4-004|Dlg4|647|protein_coding|	647	457.578	0	0
ENSMUST00000108586.3|ENSMUSG00000020886.15|OTTMUSG00000006024.8|OTTMUST00000089994.1|Dlg4-013|Dlg4|283|processed_transcript|	283	102.999	0	0
ENSMUST00000108588.6|ENSMUSG00000020886.15|OTTMUSG00000006024.8|OTTMUST00000013520.2|Dlg4-001|Dlg4|3457|protein_coding|	3457	3267.58	834.808	6977.91
ENSMUST00000018700.11|ENSMUSG00000020886.15|OTTMUSG00000006024.8|OTTMUST00000013522.2|Dlg4-003|Dlg4|3204|protein_coding|	3204	3014.58	1119.62	10144
ENSMUST00000134376.7|ENSMUSG00000020886.15|OTTMUSG00000006024.8|OTTMUST00000013524.2|Dlg4-005|Dlg4|551|protein_coding|	551	361.657	4.84625	365.994
ENSMUST00000124568.7|ENSMUSG00000020886.15|OTTMUSG00000006024.8|OTTMUST00000038804.2|Dlg4-008|Dlg4|555|protein_coding|	555	365.657	8.25355	616.497
ENSMUST00000135916.7|ENSMUSG00000020886.15|OTTMUSG00000006024.8|OTTMUST00000038805.3|Dlg4-009|Dlg4|404|protein_coding|	404	215.95	0	0
ENSMUST00000132597.2|ENSMUSG00000020886.15|OTTMUSG00000006024.8|OTTMUST00000013525.2|Dlg4-006|Dlg4|845|protein_coding|	845	655.578	0	0
ENSMUST00000143920.2|ENSMUSG00000020886.15|OTTMUSG00000006024.8|OTTMUST00000038806.2|Dlg4-010|Dlg4|534|protein_coding|	534	344.693	4458.85	353310
ENSMUST00000138004.2|ENSMUSG00000020886.15|OTTMUSG00000006024.8|OTTMUST00000038807.2|Dlg4-011|Dlg4|637|retained_intron|	637	447.578	0	0
ENSMUST00000123687.1|ENSMUSG00000020886.15|OTTMUSG00000006024.8|OTTMUST00000038854.2|Dlg4-012|Dlg4|729|nonsense_mediated_decay|	729	539.578	6.60748	334.462
ENSMUST00000131497.1|ENSMUSG00000020886.15|OTTMUSG00000006024.8|OTTMUST00000013526.1|Dlg4-007|Dlg4|301|retained_intron|	301	118.815	6.86232	1577.49
ENSMUST00000044306.11|ENSMUSG00000019828.12|OTTMUSG00000016273.3|OTTMUST00000039039.2|Grm1-002|Grm1|6930|protein_coding|	6930	6740.58	455.748	1846.68
ENSMUST00000105561.7|ENSMUSG00000019828.12|OTTMUSG00000016273.3|OTTMUST00000039038.2|Grm1-001|Grm1|4435|protein_coding|	4435	4245.58	102.263	657.879
ENSMUST00000105560.1|ENSMUSG00000019828.12|OTTMUSG00000016273.3|OTTMUST00000041159.1|Grm1-006|Grm1|4265|protein_coding|	4265	4075.58	6.98945	46.8402
ENSMUST00000155772.1|ENSMUSG00000019828.12|OTTMUSG00000016273.3|OTTMUST00000039041.1|Grm1-004|Grm1|586|processed_transcript|	586	396.618	0	0
ENSMUST00000135120.1|ENSMUSG00000019828.12|OTTMUSG00000016273.3|OTTMUST00000039040.2|Grm1-003|Grm1|598|processed_transcript|	598	408.578	0	0
ENSMUST00000156826.1|ENSMUSG00000019828.12|OTTMUSG00000016273.3|OTTMUST00000039044.1|Grm1-005|Grm1|450|processed_transcript|	450	261.183	0	0
